iter	Passed	Remaining
0	180	180143
1	185	92490
2	189	63052
3	193	48295
4	197	39394
5	201	33452
6	206	29287
7	210	26098
8	214	23591
9	218	21614
10	222	19961
11	226	18622
12	230	17468
13	234	16484
14	238	15644
15	242	14895
16	246	14247
17	250	13681
18	255	13186
19	259	12700
20	263	12267
21	266	11866
22	270	11503
23	274	11167
24	278	10875
25	282	10591
26	286	10333
27	290	10085
28	294	9852
29	298	9635
30	301	9432
31	305	9247
32	309	9071
33	313	8899
34	316	8737
35	320	8585
36	324	8435
37	327	8294
38	331	8163
39	335	8041
40	338	7918
41	341	7782
42	343	7652
43	346	7531
44	349	7407
45	351	7283
46	353	7165
47	355	7052
48	357	6938
49	359	6828
50	361	6725
51	363	6630
52	365	6537
53	367	6446
54	370	6357
55	372	6272
56	374	6191
57	376	6111
58	378	6039
59	381	5972
60	383	5901
61	385	5830
62	387	5762
63	389	5696
64	391	5632
65	393	5572
66	395	5513
67	398	5458
68	400	5407
69	402	5353
70	405	5299
71	407	5247
72	409	5199
73	412	5156
74	414	5110
75	416	5066
76	419	5023
77	421	4980
78	423	4938
79	426	4899
80	428	4857
81	430	4819
82	432	4781
83	435	4748
84	437	4712
85	440	4677
86	442	4644
87	444	4610
88	446	4575
89	449	4539
90	450	4504
91	453	4473
92	455	4443
93	458	4414
94	460	4383
95	462	4351
96	464	4319
97	465	4288
98	468	4261
99	470	4232
100	472	4202
101	474	4176
102	476	4148
103	478	4120
104	480	4096
105	482	4070
106	484	4045
107	486	4019
108	488	3996
109	490	3971
110	492	3947
111	495	3927
112	497	3905
113	499	3879
114	501	3857
115	503	3835
116	505	3816
117	507	3795
118	509	3774
119	512	3755
120	514	3735
121	515	3711
122	518	3693
123	520	3677
124	522	3660
125	525	3644
126	527	3626
127	529	3607
128	531	3590
129	533	3572
130	535	3554
131	537	3536
132	539	3519
133	541	3502
134	543	3485
135	545	3468
136	547	3451
137	549	3435
138	551	3419
139	553	3402
140	556	3387
141	558	3371
142	560	3356
143	562	3340
144	563	3325
145	565	3310
146	568	3296
147	570	3283
148	572	3269
149	574	3255
150	576	3241
151	578	3227
152	580	3213
153	582	3199
154	584	3187
155	586	3174
156	588	3160
157	590	3147
158	592	3134
159	594	3121
160	596	3109
161	598	3096
162	601	3087
163	603	3075
164	605	3062
165	607	3051
166	609	3039
167	611	3027
168	613	3015
169	615	3004
170	617	2993
171	619	2981
172	621	2970
173	623	2959
174	625	2948
175	627	2936
176	629	2928
177	631	2918
178	633	2907
179	635	2896
180	637	2886
181	639	2875
182	641	2865
183	643	2855
184	646	2846
185	648	2835
186	650	2826
187	651	2815
188	653	2806
189	655	2795
190	657	2785
191	659	2776
192	661	2766
193	663	2757
194	665	2747
195	667	2737
196	669	2728
197	671	2718
198	673	2709
199	675	2700
200	677	2691
201	679	2683
202	681	2674
203	683	2665
204	685	2656
205	687	2648
206	689	2640
207	691	2631
208	693	2623
209	695	2615
210	697	2607
211	699	2599
212	701	2592
213	703	2585
214	705	2577
215	707	2569
216	710	2562
217	712	2555
218	714	2549
219	717	2542
220	719	2534
221	721	2527
222	723	2519
223	725	2512
224	727	2505
225	729	2497
226	731	2492
227	734	2486
228	736	2479
229	738	2471
230	740	2463
231	742	2456
232	744	2449
233	746	2442
234	748	2436
235	750	2429
236	752	2422
237	754	2414
238	756	2407
239	758	2401
240	760	2394
241	762	2388
242	764	2381
243	766	2374
244	768	2368
245	770	2361
246	772	2354
247	774	2348
248	776	2342
249	778	2335
250	780	2328
251	782	2322
252	784	2315
253	786	2308
254	788	2302
255	790	2296
256	792	2290
257	794	2284
258	796	2277
259	798	2271
260	799	2265
261	801	2258
262	803	2252
263	805	2246
264	807	2240
265	809	2234
266	811	2228
267	813	2222
268	815	2217
269	817	2211
270	820	2206
271	823	2202
272	825	2197
273	827	2192
274	829	2187
275	832	2182
276	834	2177
277	836	2173
278	840	2171
279	842	2166
280	845	2162
281	847	2157
282	849	2153
283	853	2151
284	855	2147
285	858	2143
